,0,100,500,Year, Principal , Earnings+savings ,endingbalance, Principal ($100) , Earnings3 ,endingbalance100, Principal ($50) , Earnings+savings ,endingbalance500,"Difference (0,100)","Difference (100,500)","Difference (0,500)"
,,,,29," $75,759 "," $5,682 "," $81,441 "," $180,975 "," $13,573 "," $194,548 "," $638,120 "," $48,309 "," $686,429 "," $113,106 "," $491,881 "," $604,987 "
,,,,30," $81,441 "," $6,108 "," $87,550 "," $195,748 "," $14,681 "," $210,429 "," $692,429 "," $52,382 "," $744,811 "," $122,879 "," $534,382 "," $657,261 "
,,,,31," $87,550 "," $6,566 "," $94,116 "," $211,629 "," $15,872 "," $227,501 "," $750,811 "," $56,761 "," $807,572 "," $133,385 "," $580,071 "," $713,456 "
,,,,32," $94,116 "," $7,059 "," $101,174 "," $228,701 "," $17,153 "," $245,854 "," $813,572 "," $61,468 "," $875,040 "," $144,679 "," $629,186 "," $773,865 "
,,,,33," $101,174 "," $7,588 "," $108,763 "," $247,054 "," $18,529 "," $265,583 "," $881,040 "," $66,528 "," $947,567 "," $156,820 "," $681,985 "," $838,805 "
,,,,34," $108,763 "," $8,157 "," $116,920 "," $266,783 "," $20,009 "," $286,791 "," $953,567 "," $71,968 "," $1,025,535 "," $169,872 "," $738,744 "," $908,615 "
,,,,35," $116,920 "," $8,769 "," $125,689 "," $287,991 "," $21,599 "," $309,591 "," $1,031,535 "," $77,815 "," $1,109,350 "," $183,902 "," $799,760 "," $983,661 "
,,,,36," $125,689 "," $9,427 "," $135,115 "," $310,791 "," $23,309 "," $334,100 "," $1,115,350 "," $84,101 "," $1,199,451 "," $198,985 "," $865,352 "," $1,064,336 "
,,,,37," $135,115 "," $10,134 "," $145,249 "," $335,300 "," $25,147 "," $360,447 "," $1,205,451 "," $90,859 "," $1,296,310 "," $215,198 "," $935,863 "," $1,151,061 "
,,,, Total ,,,,,,,,,,,,
