Video Time,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted,Valence,Arousal,Action Unit 01 - Inner Brow Raiser,Action Unit 02 - Outer Brow Raiser,Action Unit 04 - Brow Lowerer,Action Unit 05 - Upper Lid Raiser,Action Unit 06 - Cheek Raiser,Action Unit 07 - Lid Tightener,Action Unit 09 - Nose Wrinkler,Action Unit 10 - Upper Lip Raiser,Action Unit 12 - Lip Corner Puller,Action Unit 14 - Dimpler,Action Unit 15 - Lip Corner Depressor,Action Unit 17 - Chin Raiser,Action Unit 18 - Lip Puckerer,Action Unit 20 - Lip Stretcher,Action Unit 23 - Lip Tightener,Action Unit 24 - Lip Pressor,Action Unit 25 - Lips Part,Action Unit 26 - Jaw Drop,Action Unit 27 - Mouth Stretch,Action Unit 43 - Eyes Closed,Stimulus,Event Marker,Interest,Boredom,Confusion
00:00.3,0.7614057,0.02258649,0.2377008,0.01079139,0.02599075,0.008900935,0.008120496,-0.2151144,0.4250788,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.4,0.7579772,0.02202179,0.2394843,0.01122443,0.02766709,0.009386574,0.008199308,-0.2174625,0.4225662,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.4,0.7553164,0.02143583,0.240661,0.0115411,0.02924734,0.009856638,0.008276449,-0.2192252,0.4199511,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.4,0.7531279,0.02083424,0.2412089,0.01176436,0.03119627,0.01029713,0.008349014,-0.2203746,0.4172412,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.5,0.7509459,0.02020591,0.2411982,0.01190905,0.03341256,0.0107227,0.008387181,-0.2209923,0.4144436,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.5,0.7484115,0.01957883,0.241071,0.01200646,0.03584181,0.01110096,0.008425958,-0.2214921,0.4116249,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.5,0.7455683,0.01894588,0.2405382,0.01211196,0.0386929,0.01147503,0.008459564,-0.2215923,0.4088537,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.6,0.7425826,0.01831517,0.2395035,0.012247,0.04217512,0.01185631,0.008478296,-0.2211884,0.4061294,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.6,0.7395527,0.01766392,0.2379112,0.01246518,0.04646869,0.01217982,0.008479279,-0.2202472,0.403451,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.6,0.7362729,0.01704158,0.236082,0.0126792,0.05141332,0.0125991,0.008495432,-0.2190404,0.4008179,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.7,0.7328877,0.01640875,0.234307,0.01291189,0.05756881,0.0129611,0.008504715,-0.2178983,0.3982292,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.7,0.7300158,0.01579404,0.2323985,0.01312987,0.06517401,0.01327942,0.008503523,-0.2166044,0.3956843,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.7,0.7280556,0.01519487,0.2297193,0.01324991,0.07432396,0.01360393,0.008489146,-0.2145244,0.3931823,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.8,0.7269059,0.01461761,0.2263339,0.01337761,0.08417859,0.0139278,0.008482476,-0.2117163,0.3909772,A,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.8,0.7250531,0.01403661,0.2223269,0.01338657,0.09496471,0.01438305,0.008498805,-0.2082903,0.3890502,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.8,0.7225747,0.01349306,0.2182029,0.013296,0.1061686,0.01485467,0.008540818,-0.2047099,0.3874002,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.9,0.7206523,0.01298626,0.2139397,0.01313788,0.1158576,0.01531256,0.008590858,-0.2009534,0.3859061,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.9,0.7184624,0.01252747,0.2099677,0.01295504,0.1227754,0.01588349,0.008690837,-0.1974402,0.3844871,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.9,0.7150291,0.0121259,0.2082384,0.01276611,0.1265147,0.0165079,0.008862879,-0.1961125,0.383139,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:01.0,0.7088894,0.01174322,0.209465,0.012579,0.1274349,0.01723072,0.009114929,-0.1977218,0.3816499,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:01.0,0.6999673,0.01138657,0.2140884,0.01244485,0.1262795,0.01821356,0.009469104,-0.2027019,0.3800287,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000717437
00:01.0,0.6876128,0.01107919,0.2229318,0.01236867,0.12356,0.01934327,0.009908802,-0.2118526,0.3782841,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000673746
00:01.1,0.6730067,0.01080056,0.2352727,0.01234029,0.1196579,0.02081316,0.01045509,-0.2244721,0.3764241,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000633893
00:01.1,0.6573859,0.01054519,0.2495166,0.01231114,0.1148792,0.02278618,0.01101685,-0.2389714,0.3747217,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000597444
00:01.1,0.6400646,0.01025817,0.2666848,0.01229225,0.1094491,0.02551119,0.01166921,-0.2564267,0.3732066,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000564029
00:01.2,0.622178,0.009968035,0.2851256,0.01231022,0.1037166,0.02889609,0.0123144,-0.2751575,0.3719207,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000533129
00:01.2,0.6044332,0.009706183,0.3042318,0.01239356,0.09796762,0.03237925,0.01295238,-0.2945257,0.370925,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000495448
00:01.2,0.586807,0.009481365,0.323739,0.01253557,0.09229542,0.03583593,0.01361864,-0.3142576,0.3702038,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000461592
00:01.3,0.5687565,0.009258315,0.3446665,0.01268227,0.08675998,0.03918408,0.014252,-0.3354082,0.369742,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000431082
00:01.3,0.5502562,0.009058588,0.3669034,0.01287254,0.08143684,0.04206356,0.0148463,-0.3578448,0.3695254,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000403509
00:01.3,0.5333963,0.008912792,0.3878514,0.0131069,0.07641954,0.04423039,0.01542118,-0.3789386,0.3695254,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000378523
00:01.4,0.5175069,0.008815284,0.4080262,0.01336816,0.07171818,0.04558812,0.01600536,-0.399211,0.3723466,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000355821
00:01.4,0.5025001,0.008740066,0.4278547,0.01360675,0.06732545,0.04624658,0.01655987,-0.4191146,0.3759344,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000335142
00:01.4,0.4891612,0.008709875,0.446042,0.0138855,0.06329846,0.04633301,0.01709575,-0.4373321,0.3820785,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000316258
00:01.5,0.4776162,0.008691389,0.4621375,0.01414606,0.05956041,0.04589215,0.01756818,-0.4534461,0.3914718,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000298974
00:01.5,0.4673867,0.008686039,0.4774575,0.01439283,0.05612899,0.04504897,0.01796757,-0.4687715,0.4020672,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000283116
00:01.5,0.4590763,0.008697082,0.4903253,0.01463259,0.05298418,0.04395929,0.01830477,-0.4816282,0.4146739,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000268536
00:01.6,0.4527604,0.008723225,0.5011192,0.0148906,0.05009115,0.04271462,0.01857947,-0.492396,0.4275108,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.0002551
00:01.6,0.4473403,0.00876234,0.5113989,0.01516242,0.04743688,0.04140878,0.01881413,-0.5026366,0.4404114,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000242694
00:01.6,0.4435721,0.008826824,0.5198969,0.01547755,0.04497653,0.04006852,0.01902052,-0.51107,0.4532399,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000231216
00:01.7,0.4403243,0.008953056,0.5280581,0.01587023,0.04271043,0.03873966,0.01920561,-0.519105,0.4659131,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000220575
00:01.7,0.4391838,0.009086471,0.5338225,0.01626704,0.040562,0.03739617,0.01934759,-0.524736,0.4772116,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000210691
00:01.7,0.4389036,0.009244654,0.5387595,0.01667777,0.03858134,0.03608162,0.01946132,-0.5295148,0.4885091,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000201495
00:01.8,0.4398016,0.00940388,0.5424426,0.0170751,0.03674118,0.03478395,0.0195276,-0.5330387,0.4985645,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000192924
00:01.8,0.4417197,0.00955272,0.545248,0.01747471,0.03500854,0.03353053,0.01953785,-0.5356953,0.5087263,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.00018492
00:01.8,0.4495725,0.009651596,0.5301073,0.01785355,0.03325822,0.03229237,0.01939459,-0.5204557,0.5188856,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000177436
00:01.9,0.4566591,0.009735429,0.5186695,0.01824914,0.03170086,0.03112925,0.01925158,-0.5089341,0.528943,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000170425
00:01.9,0.4624888,0.009829565,0.5098246,0.01862434,0.03026753,0.03003249,0.01912885,-0.499995,0.5388409,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000163847
00:01.9,0.4679405,0.009933106,0.5031825,0.01899491,0.02895255,0.02898831,0.0190173,-0.4932494,0.5473908,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000157668
00:02.0,0.4728757,0.01005097,0.4974916,0.01936826,0.02772192,0.02796518,0.0189228,-0.4874406,0.554845,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000151854
00:02.0,0.4769807,0.01017705,0.4922502,0.01970665,0.02661213,0.02702587,0.01884551,-0.4820731,0.5625399,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000146376
00:02.0,0.4805709,0.01034473,0.4870764,0.02003491,0.02554259,0.0261256,0.01881956,-0.4767317,0.570349,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000031611
00:02.1,0.4837628,0.01047352,0.4828938,0.02038423,0.0246148,0.02527264,0.01874295,-0.4724203,0.5781609,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000008818
00:02.1,0.4865752,0.01053734,0.4800804,0.0207088,0.0237401,0.02442973,0.01862482,-0.469543,0.5859115,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0.000000674
00:02.1,0.4890072,0.01058544,0.4782444,0.02087014,0.02293932,0.02366968,0.01850022,-0.4676589,0.5935511,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0
00:02.2,0.491467,0.01061933,0.4760118,0.02079064,0.02214465,0.02309669,0.01832469,-0.4653924,0.6010385,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0
00:02.2,0.4935772,0.01063775,0.4740402,0.02056741,0.02139034,0.02266362,0.01813973,-0.4634025,0.6074335,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0
00:02.2,0.4955469,0.0106772,0.4717435,0.02037532,0.02070422,0.02227545,0.01796553,-0.4610662,0.6133683,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0
00:02.3,0.4975911,0.01071921,0.4690316,0.02011263,0.02009079,0.02195327,0.01779554,-0.4583124,0.6188985,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,C,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,0,UNKNOWN,0
